place,infobox_content,marker,coordinates,cache,latitude,longitude,სახელი,დასახლება,სტატუსი,მისამართი,ნაგავსაყრელის ტერიტორია (კვ.მ.),ემსახურება,სამუშაო საათები,ნარჩენების საშუალო რაოდენობა თვეში (მ3)
Gurjaani,"</p>
<p>გურჯაანის ნაგავსაყრელი<br />
სტატუსი : დახურული<br />
მისამართი: გურჯაანი<br />
ნაგავსაყრელის ტერიტორია: 12 928.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,41.75,45.799999999999955,გურჯაანის ნაგავსაყრელი,გურჯაანი,დახურული,გურჯაანი,12928,,,
Dedoplistskaro,"</p>
<p>დედოფლისწყაროს ნაგავსაყრელი<br />
სტატუსი : მოქმედი<br />
ემსახურება დედოფლისწყაროს<br />
სამუშაო საათები: 09:00- 18:00<br />
მისამართი: დედოფლისწყარო<br />
ნარჩენების საშუალო რაოდენობა თვეში: 2400 m3<br />
ნაგავსაყრელის ტერიტორია: 60 986.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,41.46388899999999,46.11111099999994,დედოფლისწყაროს ნაგავსაყრელი,დედოფლისწყარო,მოქმედი,დედოფლისწყარო,60986,დედოფლისწყაროს,09:00- 18:00,2400
Kvareli,"</p>
<p>ყვარლის გადამტვირთი სადგური<br />
სტატუსი : დახურული<br />
მისამართი: ყვარელი<br />
ნაგავსაყრელის ტერიტორია: 25 570.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,41.9483514,45.814791900000046,ყვარლის გადამტვირთი სადგური,ყვარელი,დახურული,ყვარელი,25570,,,
Telavi,"</p>
<p>თელავის ნაგავსაყრელი<br />
სტატუსი: მოქმედი<br />
ემსახურება თელავს და ახმეტას<br />
სამუშაო საათები: 24/7<br />
მისამართი: თელავი, სოფელი ვარდისუბანი<br />
ნარჩენების საშუალო რაოდენობა თვეში: 4398 m3<br />
ნაგავსაყრელის ტერიტორია: 54 143.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,41.9167,45.483299999999986,თელავის ნაგავსაყრელი,თელავი,მოქმედი,"თელავი, სოფელი ვარდისუბანი",54143,"თელავს, ახმეტას",24/7,4398
Tsnori,"</p>
<p>წნორის ნაგავსაყრელი<br />
სტატუსი: მოქმედი<br />
ემსახურება სიღნაღს და გურჯაანს<br />
სამუშაო საათები : 24/7<br />
მისამართი: წნორი<br />
ნარჩენების საშუალო რაოდენობა თვეში: 1200 m3<br />
ნაგავსაყრელის ტერიტორია: 24 356.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,41.616667,45.96666700000003,წნორის ნაგავსაყრელი,წნორი,მოქმედი,წნორი,24356,"სიღნაღს, გურჯაანს",24/7,1200
Lagodekhi,"</p>
<p>ლაგოდეხის ნაგავსაყრელი<br />
სტატუსი: მოქმედი<br />
ემსახურება ლაგოდეხს<br />
სამუშაო საათები: 09:00- 18:00<br />
მისამართი: ლაგოდეხი<br />
ნარჩენების საშუალო რაოდენობა თვეში: 1299 m3<br />
ნაგავსაყრელის ტერიტორია: 12 209.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,41.816667,46.28333299999997,ლაგოდეხის ნაგავსაყრელი,ლაგოდეხი,მოქმედი,ლაგოდეხი,12209,ლაგოდეხს,09:00- 18:00,1299
Martvili,"</p>
<p>მარტვილის ნაგავსაყრელი<br />
სტატუსი : დახურული<br />
მისამართი: მარტვილი<br />
ნაგავსაყრელის ტერიტორია: 6 450.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,42.4231839,42.381114600000046,მარტვილის ნაგავსაყრელი,მარტვილი,დახურული,მარტვილი,6450,,,
Chkhorotsku,"</p>
<p>ჩხოროწყუს ნაგავსაყრელი<br />
სტატუსი : დახურული<br />
მისამართი: ჩხოროწყუ, ახუტის დასახლება<br />
ნაგავსაყრელის ტერიტორია: 8 642.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,42.5219111,42.12767269999995,ჩხოროწყუს ნაგავსაყრელი,ჩხოროწყუ,დახურული,"ჩხოროწყუ, ახუტის დასახლება",8642,,,
Senaki,"</p>
<p>სენაკის ნაგავსაყრელი<br />
სტატუსი : დახურული<br />
მისამართი: სენაკი, სოფელი თეკლათი<br />
ნაგავსაყრელის ტერიტორია: 11 953.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,42.2689,42.079200000000014,სენაკის ნაგავსაყრელი,სენაკი,დახურული,"სენაკი, სოფელი თეკლათი",11953,,,
Abasha,"</p>
<p>აბაშის ნაგავსაყრელი<br />
სტატუსი : დახურული<br />
მისამართი: აბაშა<br />
ნაგავსაყრელის ტერიტორია: 6 169.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,42.2,42.21666700000003,აბაშის ნაგავსაყრელი,აბაშა,დახურული,აბაშა,6169,,,
